[18/9/2011] [4:23:8] Casa ID:2 vendida, Dono:caio_TwOPaCk, Tempo:10
[18/9/2011] [4:23:15] Casa ID:67 vendida, Dono:Ilde_Ykb, Tempo:10
[18/9/2011] [4:23:15] Casa ID:68 vendida, Dono:Maycon_Lipe, Tempo:10
[18/9/2011] [4:23:15] Casa ID:69 vendida, Dono:gabriel_vasquez, Tempo:11
[18/9/2011] [4:23:15] Casa ID:70 vendida, Dono:Ian_Luiz, Tempo:10
[18/9/2011] [4:23:15] Casa ID:71 vendida, Dono:Kakashi_LoL, Tempo:10
[18/9/2011] [4:23:16] Casa ID:73 vendida, Dono:daniel_ProD, Tempo:11
[18/9/2011] [4:23:16] Casa ID:81 vendida, Dono:Fabio_Krauss, Tempo:10
[18/9/2011] [4:23:16] Casa ID:83 vendida, Dono:Matheeus_cuunha, Tempo:10
[18/9/2011] [4:23:16] Casa ID:85 vendida, Dono:Erich_Dias, Tempo:10
[18/9/2011] [4:23:16] Casa ID:86 vendida, Dono:Mafagafo_Braga, Tempo:10
[18/9/2011] [4:23:16] Casa ID:87 vendida, Dono:Rafael_Lessa, Tempo:10
[18/9/2011] [4:23:17] Casa ID:88 vendida, Dono:LastFusion_byee, Tempo:10
[18/9/2011] [4:23:17] Casa ID:89 vendida, Dono:FODA_C_OS_BURGUESES, Tempo:10
[18/9/2011] [4:23:17] Casa ID:91 vendida, Dono:Costa_Fest, Tempo:10
[18/9/2011] [4:23:17] Casa ID:99 vendida, Dono:Tipo_HarD, Tempo:10
[18/9/2011] [4:23:17] Casa ID:102 vendida, Dono:StreeT_FeeT, Tempo:10
[18/9/2011] [4:23:17] Casa ID:103 vendida, Dono:win32_GTR, Tempo:10
[18/9/2011] [4:23:18] Casa ID:106 vendida, Dono:Impiedoso_xD, Tempo:10
[18/9/2011] [4:23:18] Casa ID:112 vendida, Dono:Odair_Delgado, Tempo:10
[18/9/2011] [4:23:18] Casa ID:113 vendida, Dono:paulo_ricardo, Tempo:11
[18/9/2011] [4:23:18] Casa ID:115 vendida, Dono:Lustro_Xd, Tempo:11
[18/9/2011] [4:23:18] Casa ID:116 vendida, Dono:Dion_Forzen, Tempo:10
[18/9/2011] [4:23:18] Casa ID:122 vendida, Dono:Vini_Street, Tempo:10
[18/9/2011] [4:23:19] Casa ID:123 vendida, Dono:Renan_Moura, Tempo:10
[18/9/2011] [4:23:19] Casa ID:124 vendida, Dono:Jack_spear, Tempo:10
[18/9/2011] [4:23:19] Casa ID:125 vendida, Dono:Gustavo_Oakley1, Tempo:10
[18/9/2011] [4:23:19] Casa ID:126 vendida, Dono:Rian_Gracie, Tempo:10
[18/9/2011] [4:23:19] Casa ID:127 vendida, Dono:Max_Wallker, Tempo:10
[18/9/2011] [4:23:19] Casa ID:130 vendida, Dono:Scott_Walker, Tempo:11
[18/9/2011] [4:23:20] Casa ID:133 vendida, Dono:Lost_Twister, Tempo:11
[18/9/2011] [4:23:20] Casa ID:134 vendida, Dono:_Azucrinaldo_, Tempo:12
[18/9/2011] [4:23:20] Casa ID:154 vendida, Dono:binladem_bin, Tempo:12
[18/9/2011] [4:23:20] Casa ID:155 vendida, Dono:Skunky_Dn, Tempo:10
[18/9/2011] [4:23:20] Casa ID:161 vendida, Dono:Matheus_henrique, Tempo:10
[18/9/2011] [4:23:20] Casa ID:165 vendida, Dono:Luan_ice1, Tempo:10
[18/9/2011] [4:23:21] Casa ID:166 vendida, Dono:Matheus_Assis, Tempo:11
[18/9/2011] [4:23:21] Casa ID:168 vendida, Dono:CTDS_Junim, Tempo:10
[18/9/2011] [4:23:21] Casa ID:169 vendida, Dono:LEO_SANTOS, Tempo:10
[18/9/2011] [4:23:21] Casa ID:171 vendida, Dono:Marlon_TR, Tempo:10
[18/9/2011] [4:23:21] Casa ID:172 vendida, Dono:LEO_SANTOS, Tempo:10
[18/9/2011] [4:23:21] Casa ID:173 vendida, Dono:SheikeS_kS, Tempo:11
[18/9/2011] [4:23:22] Casa ID:176 vendida, Dono:TunTun_RS, Tempo:12
[18/9/2011] [4:23:22] Casa ID:178 vendida, Dono:Joana_moreira, Tempo:10
[18/9/2011] [4:23:22] Casa ID:179 vendida, Dono:NESSINHA_PERNA, Tempo:10
[18/9/2011] [4:23:22] Casa ID:180 vendida, Dono:ZEU_PERNA, Tempo:11
[18/9/2011] [4:23:22] Casa ID:181 vendida, Dono:Jaredy_Mal, Tempo:10
[18/9/2011] [4:23:22] Casa ID:182 vendida, Dono:coca_cola, Tempo:10
[18/9/2011] [4:23:23] Casa ID:183 vendida, Dono:elisson_Sony, Tempo:10
[18/9/2011] [4:23:23] Casa ID:184 vendida, Dono:Alexande_Braaatz, Tempo:11
[18/9/2011] [4:23:23] Casa ID:186 vendida, Dono:Ana_Ropper, Tempo:10
[18/9/2011] [4:23:23] Casa ID:187 vendida, Dono:Yaan_dragonnet, Tempo:10
[18/9/2011] [4:23:23] Casa ID:188 vendida, Dono:Afonso_Campos, Tempo:10
[18/9/2011] [4:23:23] Casa ID:189 vendida, Dono:Arthur_matador, Tempo:10
[18/9/2011] [4:23:24] Casa ID:191 vendida, Dono:Dean_Winchester, Tempo:10
[18/9/2011] [4:23:24] Casa ID:192 vendida, Dono:Sucata_SJ, Tempo:10
[18/9/2011] [4:23:24] Casa ID:193 vendida, Dono:_BrunA_SouzA_, Tempo:10
[18/9/2011] [4:23:24] Casa ID:194 vendida, Dono:william_bolado, Tempo:10
[18/9/2011] [4:23:24] Casa ID:196 vendida, Dono:Kratos_GoD, Tempo:10
[18/9/2011] [4:23:24] Casa ID:197 vendida, Dono:Advaced_Striike, Tempo:12
[18/9/2011] [4:23:25] Casa ID:198 vendida, Dono:LucaaS_CreeW, Tempo:10
[18/9/2011] [4:23:25] Casa ID:199 vendida, Dono:Vinicius_Ribeiro, Tempo:10
[18/9/2011] [4:23:25] Casa ID:200 vendida, Dono:Bob_Marley, Tempo:12
[18/9/2011] [4:23:25] Casa ID:201 vendida, Dono:Daftpunkk_Punk, Tempo:10
[18/9/2011] [4:23:25] Casa ID:202 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:25] Casa ID:203 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:204 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:205 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:206 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:207 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:208 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:209 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:210 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:211 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:212 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:213 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:214 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:215 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:216 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:217 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:218 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:219 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:220 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:221 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:222 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:223 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:224 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:225 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:226 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:227 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:228 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:229 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:230 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:231 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:232 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:233 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:234 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:235 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:236 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:237 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:238 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:239 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:240 vendida, Dono:Teu_Hend, Tempo:11
[19/9/2011] [1:0:1] Casa ID:25 vendida, Dono:MarcoS_PaulO, Tempo:10
[19/9/2011] [1:0:2] Casa ID:82 vendida, Dono:Alexandre_Schwartz, Tempo:10
[19/9/2011] [1:0:2] Casa ID:93 vendida, Dono:manuel_siqueira, Tempo:10
[19/9/2011] [1:0:2] Casa ID:145 vendida, Dono:Ermac_TwOPaCk, Tempo:10
[2/11/2011] [17:34:38] Casa ID:1 vendida, Dono:Thiago_Street, Tempo:18
[4/11/2011] [15:31:31] Casa ID:1 vendida, Dono:Thiago_Street, Tempo:20
[13/12/2011] [5:22:27] Casa ID:6 vendida, Dono:Feliipe_Capone, Tempo:160
[13/12/2011] [5:22:27] Casa ID:23 vendida, Dono:Yuri_Ribeiro, Tempo:160
[13/12/2011] [5:22:27] Casa ID:24 vendida, Dono:Vinih_Pessoa, Tempo:160
[13/12/2011] [5:22:27] Casa ID:25 vendida, Dono:Vitinho_Twiiter, Tempo:160
[13/12/2011] [5:22:27] Casa ID:27 vendida, Dono:Bruk_Killer, Tempo:160
[13/12/2011] [5:22:27] Casa ID:28 vendida, Dono:Gabriel_Shift, Tempo:161
[13/12/2011] [5:22:27] Casa ID:29 vendida, Dono:The_Off, Tempo:160
[13/12/2011] [5:22:27] Casa ID:30 vendida, Dono:win32_GTR, Tempo:160
[13/12/2011] [5:22:27] Casa ID:33 vendida, Dono:Mike_StreeT, Tempo:160
[13/12/2011] [5:22:27] Casa ID:102 vendida, Dono:Freestyle_Street, Tempo:160
[13/12/2011] [5:32:52] Casa ID:6 vendida, Dono:Feliipe_Capone, Tempo:160
[13/12/2011] [5:32:52] Casa ID:23 vendida, Dono:Yuri_Ribeiro, Tempo:160
[13/12/2011] [5:32:52] Casa ID:24 vendida, Dono:Vinih_Pessoa, Tempo:160
[13/12/2011] [5:32:52] Casa ID:25 vendida, Dono:Vitinho_Twiiter, Tempo:160
[13/12/2011] [5:32:52] Casa ID:27 vendida, Dono:Bruk_Killer, Tempo:160
[13/12/2011] [5:32:52] Casa ID:28 vendida, Dono:Gabriel_Shift, Tempo:161
[13/12/2011] [5:32:52] Casa ID:29 vendida, Dono:The_Off, Tempo:160
[13/12/2011] [5:32:52] Casa ID:30 vendida, Dono:win32_GTR, Tempo:160
[13/12/2011] [5:32:52] Casa ID:33 vendida, Dono:Mike_StreeT, Tempo:160
[13/12/2011] [5:32:52] Casa ID:102 vendida, Dono:Freestyle_Street, Tempo:160
[13/12/2011] [5:32:52] Casa ID:121 vendida, Dono:Sucata_SJ, Tempo:160
[13/12/2011] [5:32:52] Casa ID:122 vendida, Dono:rafael_xd, Tempo:160
[13/12/2011] [5:32:52] Casa ID:123 vendida, Dono:D_Eagle, Tempo:160
[6/2/2012] [17:55:17] Casa ID:114 vendida, Dono:Alien_Halls, Tempo:10
[6/2/2012] [17:55:17] Casa ID:154 vendida, Dono:Panico_Halls, Tempo:10
[14/10/2014] [14:47:12] Casa ID:2 vendida, Dono:Jose_afonsos, Tempo:115
[14/10/2014] [14:47:12] Casa ID:6 vendida, Dono:SteealZ_Killer, Tempo:115
[14/10/2014] [14:47:12] Casa ID:24 vendida, Dono:Ex_Mastter, Tempo:121
[14/10/2014] [14:47:12] Casa ID:28 vendida, Dono:Baah_s, Tempo:115
[14/10/2014] [14:47:12] Casa ID:30 vendida, Dono:Pucc_a, Tempo:115
[14/10/2014] [14:47:12] Casa ID:33 vendida, Dono:Tufao_Winchester, Tempo:118
[14/10/2014] [14:47:12] Casa ID:34 vendida, Dono:Poker_Brfoce, Tempo:115
[14/10/2014] [14:47:12] Casa ID:36 vendida, Dono:PauliN_ChD, Tempo:115
[14/10/2014] [14:47:12] Casa ID:55 vendida, Dono:MuriLo_Olivera, Tempo:115
[14/10/2014] [14:47:12] Casa ID:61 vendida, Dono:Lucas_Silva, Tempo:115
[14/10/2014] [14:47:13] Casa ID:63 vendida, Dono:Christian_Santos, Tempo:115
[14/10/2014] [14:47:13] Casa ID:65 vendida, Dono:Yure_Brfoce, Tempo:116
[14/10/2014] [14:47:13] Casa ID:68 vendida, Dono:Only_Rafael, Tempo:121
[14/10/2014] [14:47:13] Casa ID:78 vendida, Dono:Higor_Nasc, Tempo:116
[14/10/2014] [14:47:13] Casa ID:87 vendida, Dono:GF_Gugax, Tempo:116
[14/10/2014] [14:47:13] Casa ID:102 vendida, Dono:Dick_Roman, Tempo:116
[14/10/2014] [14:47:13] Casa ID:103 vendida, Dono:Emilio_SWAT, Tempo:116
[14/10/2014] [14:47:13] Casa ID:105 vendida, Dono:Jack_Jack, Tempo:116
[14/10/2014] [14:47:13] Casa ID:111 vendida, Dono:Kick_RobaCena, Tempo:120
[14/10/2014] [14:47:13] Casa ID:112 vendida, Dono:KICKME_Ass, Tempo:115
[14/10/2014] [14:47:13] Casa ID:114 vendida, Dono:Rafael_Veiga, Tempo:115
[14/10/2014] [14:47:13] Casa ID:121 vendida, Dono:YuriziN_Staff, Tempo:116
[14/10/2014] [14:47:13] Casa ID:123 vendida, Dono:Diego_Staff, Tempo:116
[14/10/2014] [14:47:14] Casa ID:141 vendida, Dono:GF_wLMaikon, Tempo:116
[14/10/2014] [14:47:14] Casa ID:142 vendida, Dono:GF_ozz, Tempo:116
[14/10/2014] [14:47:14] Casa ID:143 vendida, Dono:GF_Luiz, Tempo:116
[14/10/2014] [14:47:14] Casa ID:153 vendida, Dono:Igoor_Cerqueira, Tempo:116
[14/10/2014] [14:47:14] Casa ID:172 vendida, Dono:Tiago_Rs, Tempo:117
[14/10/2014] [14:47:14] Casa ID:175 vendida, Dono:jose_alves, Tempo:118
[14/10/2014] [14:47:15] Casa ID:179 vendida, Dono:Dark_Boy, Tempo:116
[14/10/2014] [14:47:15] Casa ID:187 vendida, Dono:GF_FoX, Tempo:119
[14/10/2014] [14:47:15] Casa ID:188 vendida, Dono:GF_Matheus, Tempo:116
[14/10/2014] [14:47:15] Casa ID:189 vendida, Dono:GF_Guilherme, Tempo:115
[14/10/2014] [14:47:15] Casa ID:191 vendida, Dono:Mr_Kalango, Tempo:116
[14/10/2014] [14:47:15] Casa ID:193 vendida, Dono:Blade_Steel, Tempo:116
[14/10/2014] [14:47:15] Casa ID:195 vendida, Dono:GF_FireMark, Tempo:115
[14/10/2014] [14:47:16] Casa ID:210 vendida, Dono:Bruno_Alves, Tempo:115
[21/11/2014] [9:10:13] Casa ID:6 vendida, Dono:eduardo, Tempo:15
[21/11/2014] [9:10:13] Casa ID:20 vendida, Dono:Diego_RPG, Tempo:15
[21/11/2014] [9:10:13] Casa ID:27 vendida, Dono:SweeT_K7, Tempo:12
[21/11/2014] [9:10:13] Casa ID:28 vendida, Dono:Bruna_Oliveira, Tempo:14
[21/11/2014] [9:10:13] Casa ID:29 vendida, Dono:AlienW4re, Tempo:11
[21/11/2014] [9:10:13] Casa ID:33 vendida, Dono:Ganer_BR, Tempo:16
[21/11/2014] [9:10:13] Casa ID:37 vendida, Dono:Weldeson_Jr, Tempo:10
[21/11/2014] [9:10:13] Casa ID:47 vendida, Dono:Black_Staff, Tempo:11
[21/11/2014] [9:10:13] Casa ID:57 vendida, Dono:Carla_Milena, Tempo:12
[21/11/2014] [9:10:13] Casa ID:66 vendida, Dono:Minato_craft, Tempo:10
[21/11/2014] [9:10:13] Casa ID:68 vendida, Dono:Vier_Lopes, Tempo:10
[21/11/2014] [9:10:13] Casa ID:82 vendida, Dono:Street_Staff, Tempo:13
[21/11/2014] [9:10:14] Casa ID:84 vendida, Dono:Gabriell_deloroso, Tempo:13
[21/11/2014] [9:10:14] Casa ID:98 vendida, Dono:PMRJ_VitorCMDGRL, Tempo:11
[21/11/2014] [9:10:14] Casa ID:105 vendida, Dono:cauan, Tempo:13
[21/11/2014] [9:10:14] Casa ID:112 vendida, Dono:Jump_AnB, Tempo:10
[21/11/2014] [9:10:14] Casa ID:123 vendida, Dono:IdashX, Tempo:11
[21/11/2014] [9:10:14] Casa ID:164 vendida, Dono:maudoso, Tempo:14
[21/11/2014] [9:10:14] Casa ID:186 vendida, Dono:Poppy_Royale, Tempo:17
[21/11/2014] [9:10:14] Casa ID:192 vendida, Dono:Street_Staff, Tempo:13
[21/11/2014] [9:10:14] Casa ID:196 vendida, Dono:Mr_BlaacK, Tempo:12
[21/11/2014] [9:10:14] Casa ID:199 vendida, Dono:Cauan_BuLLeT, Tempo:11
[21/11/2014] [9:10:14] Casa ID:212 vendida, Dono:Jack_Banned, Tempo:14
[22/11/2014] [1:40:21] Casa ID:0 vendida, Dono:Davi_M4ster, Tempo:10
[22/11/2014] [1:40:21] Casa ID:25 vendida, Dono:matheus_lorde, Tempo:10
[22/11/2014] [1:40:21] Casa ID:30 vendida, Dono:vinicius_aztecas, Tempo:10
[22/11/2014] [1:40:21] Casa ID:43 vendida, Dono:Carlos_DPP, Tempo:10
[22/11/2014] [1:40:21] Casa ID:56 vendida, Dono:MrCatra_, Tempo:10
[22/11/2014] [1:40:21] Casa ID:58 vendida, Dono:Morticos_Medico, Tempo:10
[22/11/2014] [1:40:21] Casa ID:69 vendida, Dono:Lordlukex101, Tempo:10
[22/11/2014] [1:40:21] Casa ID:99 vendida, Dono:Dnnick_Games, Tempo:10
[22/11/2014] [1:40:21] Casa ID:114 vendida, Dono:Global_Storm, Tempo:10
[29/11/2014] [18:9:13] Casa ID:17 vendida, Dono:HOLLISTTER_LV, Tempo:16
[29/11/2014] [18:9:13] Casa ID:34 vendida, Dono:Zengoldabyl_STAFF, Tempo:16
[29/11/2014] [18:9:13] Casa ID:39 vendida, Dono:Felipe_San, Tempo:16
[29/11/2014] [18:9:13] Casa ID:60 vendida, Dono:Mr_Flex, Tempo:16
[29/11/2014] [18:9:13] Casa ID:61 vendida, Dono:MyNameiS_Death, Tempo:16
[29/11/2014] [18:9:13] Casa ID:101 vendida, Dono:Zengoldabyl_STAFF, Tempo:16
[29/11/2014] [18:9:13] Casa ID:120 vendida, Dono:alfredohenrique, Tempo:16
[29/11/2014] [18:9:13] Casa ID:121 vendida, Dono:Wigor_Alexandre, Tempo:16
[29/11/2014] [18:9:13] Casa ID:127 vendida, Dono:Mc_STAFF, Tempo:16
[29/11/2014] [18:9:13] Casa ID:129 vendida, Dono:matheus_alves, Tempo:16
[29/11/2014] [18:9:13] Casa ID:156 vendida, Dono:Mc_STAFF, Tempo:16
[29/11/2014] [18:9:13] Casa ID:157 vendida, Dono:Vitor_Almeiidaa, Tempo:16
[29/11/2014] [18:9:13] Casa ID:173 vendida, Dono:Zengoldabyl_STAFF, Tempo:16
[29/11/2014] [18:9:13] Casa ID:175 vendida, Dono:Xablau_Eu, Tempo:16
[29/11/2014] [18:9:13] Casa ID:189 vendida, Dono:Liinki, Tempo:16
[29/11/2014] [18:9:14] Casa ID:194 vendida, Dono:Pedrolucasrd, Tempo:16
[29/11/2014] [18:9:14] Casa ID:195 vendida, Dono:Muleke_bolado, Tempo:16
[29/11/2014] [18:9:14] Casa ID:197 vendida, Dono:kaike_alex123456, Tempo:16
[29/11/2014] [18:9:14] Casa ID:198 vendida, Dono:Mc_STAFF, Tempo:16
[29/11/2014] [18:9:14] Casa ID:201 vendida, Dono:GUSTAVO_GAMER, Tempo:16
[29/11/2014] [18:9:14] Casa ID:202 vendida, Dono:DR1V3R, Tempo:16
[29/11/2014] [18:9:14] Casa ID:203 vendida, Dono:Rato_Alta, Tempo:16
